Example;PredX;PredY;ActualX;ActualY;ErrorX;ErrorY;Distance;MeasX;MeasY
1;4209.006695;596.563543;3900.000000;300.000000;309.006695;296.563543;428.293209;4033.000000;498.000000
2;4337.583062;592.943405;3915.600000;300.000000;421.983062;292.943405;513.697910;4143.000000;490.000000
3;4293.239722;594.728329;3931.200000;300.000000;362.039722;294.728329;466.837818;4104.000000;499.000000
4;4292.658349;592.809914;3946.800000;300.000000;345.858349;292.809914;453.161829;4107.000000;476.000000
5;4381.933144;591.273666;3962.300000;300.000000;419.633144;291.273666;510.815352;4182.000000;482.000000
6;4347.466411;591.330797;3977.900000;300.000000;369.566411;291.330797;470.587893;4154.000000;473.000000
7;4320.056027;595.758164;3993.500000;300.000000;326.556027;295.758164;440.581128;4124.000000;517.000000
8;4299.840722;592.172600;4009.100000;300.000000;290.740722;292.172600;412.183206;4114.000000;470.000000
9;4298.214588;595.330330;4024.700000;300.000000;273.514588;295.330330;402.529792;4107.000000;507.000000
10;4351.269195;590.854522;4040.300000;300.000000;310.969195;290.854522;425.791255;4158.000000;468.000000
11;4299.986714;585.862687;4055.800000;300.000000;244.186714;285.862687;375.958278;4129.000000;372.000000
12;4306.360299;582.539851;4071.400000;300.000000;234.960299;282.539851;367.471236;4145.000000;302.000000
13;4324.314159;582.749331;4087.000000;300.000000;237.314159;282.749331;369.141157;4158.000000;317.000000
14;4358.526250;582.033808;4102.600000;300.000000;255.926250;282.033808;380.842899;4187.000000;318.000000
15;4352.709663;584.637054;4118.200000;300.000000;234.509663;284.637054;368.799450;4174.000000;371.000000
16;4371.080753;584.812329;4133.800000;300.000000;237.280753;284.812329;370.702331;4188.000000;382.000000
17;4365.875879;582.517479;4149.400000;300.000000;216.475879;282.517479;355.918434;4191.000000;333.000000
18;4402.869330;581.306452;4164.900000;300.000000;237.969330;281.306452;368.459933;4224.000000;324.000000
19;4431.055052;580.183248;4180.500000;300.000000;250.555052;280.183248;375.872966;4250.000000;312.000000
20;4450.794263;583.148322;4196.100000;300.000000;254.694263;283.148322;380.843984;4256.000000;384.000000
21;4480.549330;581.341766;4211.700000;300.000000;268.849330;281.341766;389.144127;4285.000000;362.000000
22;4552.362955;583.125581;4227.300000;300.000000;325.062955;283.125581;431.075421;4338.000000;422.000000
23;4528.988215;580.570961;4242.900000;300.000000;286.088215;280.570961;400.707538;4326.000000;368.000000
24;4507.385342;578.997550;4258.400000;300.000000;248.985342;278.997550;373.942955;4314.000000;324.000000
25;4521.905416;580.034966;4274.000000;300.000000;247.905416;280.034966;374.000906;4322.000000;354.000000
26;4557.658328;581.674382;4289.600000;300.000000;268.058328;281.674382;388.838945;4346.000000;400.000000
27;4525.700421;581.377265;4305.200000;300.000000;220.500421;281.377265;357.482308;4321.000000;382.000000
28;4576.190190;579.887424;4320.800000;300.000000;255.390190;279.887424;378.894602;4366.000000;375.000000
29;4655.127585;579.285054;4336.400000;300.000000;318.727585;279.285054;423.777553;4432.000000;396.000000
30;4629.163114;579.193903;4351.900000;300.000000;277.263114;279.193903;393.476899;4411.000000;384.000000
31;4648.885470;581.170743;4367.500000;300.000000;281.385470;281.170743;397.787342;4422.000000;425.000000
32;4656.774205;578.692113;4383.100000;300.000000;273.674205;278.692113;390.598085;4435.000000;386.000000
33;4664.624043;578.849639;4398.700000;300.000000;265.924043;278.849639;385.321577;4441.000000;392.000000
34;4719.566946;574.668175;4414.300000;300.000000;305.266946;274.668175;410.646460;4499.000000;332.000000
35;4678.066683;580.020914;4429.900000;300.000000;248.166683;280.020914;374.163621;4449.000000;417.000000
36;4703.202917;580.817049;4445.500000;300.000000;257.702917;280.817049;381.141717;4468.000000;438.000000
37;4726.749839;580.702233;4461.000000;300.000000;265.749839;280.702233;386.544590;4488.000000;444.000000
38;4745.883301;599.765647;4476.600000;300.000000;269.283301;299.765647;402.955257;4475.000000;633.000000
39;4713.241852;578.171094;4492.200000;300.000000;221.041852;278.171094;355.300799;4483.000000;399.000000
40;4701.412121;575.604641;4507.800000;300.000000;193.612121;275.604641;336.813853;4481.000000;344.000000
41;4769.216032;578.890684;4523.400000;300.000000;245.816032;278.890684;371.760051;4528.000000;431.000000
42;4743.137206;578.519056;4539.000000;300.000000;204.137206;278.519056;345.318496;4507.000000;416.000000
43;4753.289719;576.133610;4554.500000;300.000000;198.789719;276.133610;340.245680;4522.000000;378.000000
44;4767.225567;576.695675;4570.100000;300.000000;197.125567;276.695675;339.733698;4532.000000;394.000000
45;4789.938547;574.963998;4585.700000;300.000000;204.238547;274.963998;342.518006;4556.000000;371.000000
46;4794.204718;574.819045;4601.300000;300.000000;192.904718;274.819045;335.764408;4560.000000;370.000000
47;4814.787724;575.591514;4616.900000;300.000000;197.887724;275.591514;339.278991;4575.000000;393.000000
48;4816.645941;573.163543;4632.500000;300.000000;184.145941;273.163543;329.435956;4584.000000;346.000000
49;4840.866032;571.494730;4648.100000;300.000000;192.766032;271.494730;332.968664;4610.000000;320.000000
50;4875.958999;571.278779;4663.600000;300.000000;212.358999;271.278779;344.512003;4640.000000;333.000000
51;4903.183458;570.129505;4679.200000;300.000000;223.983458;270.129505;350.911013;4667.000000;320.000000
52;4839.581409;569.991577;4694.800000;300.000000;144.781409;269.991577;306.361075;4615.000000;280.000000
53;4874.340904;570.637581;4710.400000;300.000000;163.940904;270.637581;316.419532;4641.000000;317.000000
54;4922.082504;570.668458;4726.000000;300.000000;196.082504;270.668458;334.230104;4681.000000;342.000000
55;4990.984334;570.399628;4741.600000;300.000000;249.384334;270.399628;367.843044;4741.000000;368.000000
56;4991.261278;570.801763;4757.100000;300.000000;234.161278;270.801763;358.001535;4740.000000;376.000000
57;4968.246461;567.284423;4772.700000;300.000000;195.546461;267.284423;331.178775;4733.000000;283.000000
58;5012.066772;567.831327;4788.300000;300.000000;223.766772;267.831327;349.006000;4768.000000;322.000000
59;5023.109237;567.972028;4803.900000;300.000000;219.209237;267.972028;346.210481;4777.000000;331.000000
60;5081.604950;568.023427;4819.500000;300.000000;262.104950;268.023427;374.880731;4828.000000;360.000000
61;5082.988629;569.056775;4835.100000;300.000000;247.888629;269.056775;365.841934;4826.000000;381.000000
62;5128.866307;568.429445;4850.600000;300.000000;278.266307;268.429445;386.634846;4869.000000;388.000000
63;5081.695190;566.064706;4866.200000;300.000000;215.495190;266.064706;342.386631;4835.000000;316.000000
64;5128.671825;566.474607;4881.800000;300.000000;246.871825;266.474607;363.255301;4875.000000;349.000000
65;5139.375631;566.057126;4897.400000;300.000000;241.975631;266.057126;359.636761;4886.000000;345.000000
66;5108.129790;568.882424;4913.000000;300.000000;195.129790;268.882424;332.224913;4849.000000;388.000000
67;5126.467688;568.373608;4928.600000;300.000000;197.867688;268.373608;333.430676;4867.000000;386.000000
68;5119.251604;569.594619;4944.200000;300.000000;175.051604;269.594619;321.441010;4857.000000;405.000000
69;5121.290819;568.486576;4959.700000;300.000000;161.590819;268.486576;313.363422;4862.000000;386.000000
70;5207.384397;568.023982;4975.300000;300.000000;232.084397;268.023982;354.541989;4942.000000;411.000000
71;5229.339673;568.978012;4990.900000;300.000000;238.439673;268.978012;359.447699;4960.000000;434.000000
72;5255.515481;571.006621;5006.500000;300.000000;249.015481;271.006621;368.039806;4980.000000;471.000000
73;5229.176307;568.916629;5022.100000;300.000000;207.076307;268.916629;339.406468;4960.000000;433.000000
74;5254.514544;571.028253;5037.700000;300.000000;216.814544;271.028253;347.080481;4979.000000;471.000000
75;5292.223432;568.409477;5053.200000;300.000000;239.023432;268.409477;359.410418;5021.000000;446.000000
76;5275.878073;568.160985;5068.800000;300.000000;207.078073;268.160985;338.809153;5006.000000;437.000000
77;5242.137668;567.811728;5084.400000;300.000000;157.737668;267.811728;310.812313;4975.000000;420.000000
78;5288.228499;569.772113;5100.000000;300.000000;188.228499;269.772113;328.948265;5014.000000;464.000000
79;5293.568734;567.710409;5115.600000;300.000000;177.968734;267.710409;321.468090;5024.000000;436.000000
80;5288.567159;565.904777;5131.200000;300.000000;157.367159;265.904777;308.981833;5024.000000;405.000000
81;5299.827444;562.296286;5146.800000;300.000000;153.027444;262.296286;303.672094;5046.000000;339.000000
82;5334.468693;564.792296;5162.300000;300.000000;172.168693;264.792296;315.843346;5071.000000;403.000000
83;5338.737976;564.135938;5177.900000;300.000000;160.837976;264.135938;309.251756;5077.000000;393.000000
84;5368.949170;560.752828;5193.500000;300.000000;175.449170;260.752828;314.284025;5117.000000;338.000000
85;5360.969158;558.844397;5209.100000;300.000000;151.869158;258.844397;300.107752;5117.000000;286.000000
86;5398.694124;561.876772;5224.700000;300.000000;173.994124;261.876772;314.409603;5142.000000;375.000000
87;5398.694124;561.876772;5240.300000;300.000000;158.394124;261.876772;306.052515;5142.000000;375.000000
88;5426.325700;560.973956;5255.800000;300.000000;170.525700;260.973956;311.747365;5172.000000;369.000000
89;5436.838135;561.416581;5271.400000;300.000000;165.438135;261.416581;309.367751;5181.000000;382.000000
90;5457.761875;564.683951;5287.000000;300.000000;170.761875;264.683951;314.987637;5193.000000;444.000000
91;5460.112781;565.253411;5302.600000;300.000000;157.512781;265.253411;308.495783;5194.000000;453.000000
92;5475.277760;560.907026;5318.200000;300.000000;157.077760;260.907026;304.542113;5221.000000;388.000000
93;5489.591683;559.457121;5333.800000;300.000000;155.791683;259.457121;302.636822;5240.000000;366.000000
94;5499.207942;561.695210;5349.400000;300.000000;149.807942;261.695210;301.540714;5243.000000;411.000000
95;5554.410415;565.534628;5364.900000;300.000000;189.510415;265.534628;326.225131;5291.000000;484.000000
96;5536.679821;560.828263;5380.500000;300.000000;156.179821;260.828263;304.012367;5284.000000;410.000000
97;5512.342522;559.166290;5396.100000;300.000000;116.242522;259.166290;284.041352;5264.000000;370.000000
98;5539.178015;558.387350;5411.700000;300.000000;127.478015;258.387350;288.122660;5294.000000;366.000000
99;5556.125492;563.681109;5427.300000;300.000000;128.825492;263.681109;293.468457;5297.000000;460.000000
100;5554.692026;560.739146;5442.900000;300.000000;111.792026;260.739146;283.694130;5303.000000;415.000000
101;5629.276898;563.847880;5458.400000;300.000000;170.876898;263.847880;314.347925;5375.000000;483.000000
102;5626.512133;557.979483;5474.000000;300.000000;152.512133;257.979483;299.688780;5387.000000;394.000000
103;5653.122545;560.079090;5489.600000;300.000000;163.522545;260.079090;307.214511;5410.000000;438.000000
104;5635.288746;557.790896;5505.200000;300.000000;130.088746;257.790896;288.754615;5397.000000;394.000000
105;5642.893277;558.904671;5520.800000;300.000000;122.093277;258.904671;286.248837;5402.000000;416.000000
106;5685.779034;564.029257;5536.400000;300.000000;149.379034;264.029257;303.357123;5437.000000;500.000000
107;5676.576634;562.522036;5551.900000;300.000000;124.676634;262.522036;290.623610;5430.000000;479.000000
108;5615.675041;556.543816;5567.500000;300.000000;48.175041;256.543816;261.027899;5380.000000;362.000000
109;5712.166440;561.149601;5583.100000;300.000000;129.066440;261.149601;291.302694;5473.000000;471.000000
110;5723.883111;557.293358;5598.700000;300.000000;125.183111;257.293358;286.130536;5496.000000;418.000000
111;5720.156305;555.534873;5614.300000;300.000000;105.856305;255.534873;276.592893;5497.000000;386.000000
112;5543.629334;553.025181;5629.900000;300.000000;-86.270666;253.025181;267.328207;5321.000000;228.000000
113;5951.384762;574.948098;5645.500000;300.000000;305.884762;274.948098;411.293015;5738.000000;645.000000
114;5850.718989;556.069389;5661.000000;300.000000;189.718989;256.069389;318.692370;5647.000000;441.000000
115;5857.149881;560.648365;5676.600000;300.000000;180.549881;260.648365;317.073856;5644.000000;503.000000
116;5817.915212;556.764943;5692.200000;300.000000;125.715212;256.764943;285.889053;5606.000000;441.000000
117;5845.884409;559.881628;5707.800000;300.000000;138.084409;259.881628;294.288574;5632.000000;491.000000
118;5753.510338;552.966941;5723.400000;300.000000;30.110338;252.966941;254.752636;5543.000000;349.000000
119;5740.544829;551.288328;5739.000000;300.000000;1.544829;251.288328;251.293077;5535.000000;303.000000
120;5864.309436;557.034513;5754.500000;300.000000;109.809436;257.034513;279.508234;5661.000000;459.000000
121;5791.373257;549.416506;5770.100000;300.000000;21.273257;249.416506;250.322082;5600.000000;282.000000
122;5782.259541;552.030660;5785.700000;300.000000;-3.440459;252.030660;252.054142;5579.000000;342.000000
123;5820.419629;551.215112;5801.300000;300.000000;19.119629;251.215112;251.941645;5626.000000;342.000000
124;6132.760834;601.932368;5816.900000;300.000000;315.860834;301.932368;436.956773;5954.000000;797.000000
125;5995.978336;569.148111;5832.500000;300.000000;163.478336;269.148111;314.906132;5805.000000;610.000000
126;5975.166619;561.493311;5848.100000;300.000000;127.066619;261.493311;290.731280;5791.000000;539.000000
127;5846.787846;550.927793;5863.600000;300.000000;-16.812154;250.927793;251.490370;5658.000000;348.000000
128;5878.781019;549.096647;5879.200000;300.000000;-0.418981;249.096647;249.096999;5703.000000;322.000000
129;6140.423969;590.818653;5894.800000;300.000000;245.623969;290.818653;380.666026;5977.000000;752.000000
130;6183.674316;620.332213;5910.400000;300.000000;273.274316;320.332213;421.060066;6011.000000;862.000000
131;5833.980515;548.683788;5926.000000;300.000000;-92.019485;248.683788;265.162614;5652.000000;287.000000
132;5884.234313;548.980351;5941.600000;300.000000;-57.365687;248.980351;255.503498;5710.000000;322.000000
133;5922.860641;548.718177;5957.100000;300.000000;-34.239359;248.718177;251.063867;5758.000000;335.000000
134;5995.277162;551.417196;5972.700000;300.000000;22.577162;251.417196;252.428871;5841.000000;416.000000
135;6044.346948;559.089561;5988.300000;300.000000;56.046948;259.089561;265.082366;5888.000000;529.000000
136;6003.256655;553.402911;6003.900000;300.000000;-0.643345;253.402911;253.403727;5846.000000;449.000000
137;6168.584019;580.429705;6019.500000;300.000000;149.084019;280.429705;317.595441;6031.000000;704.000000
138;6184.671623;594.601680;6035.100000;300.000000;149.571623;294.601680;330.396459;6038.000000;772.000000
139;6005.845089;549.090545;6050.600000;300.000000;-44.754911;249.090545;253.079240;5862.000000;379.000000
140;6036.084288;556.648833;6066.200000;300.000000;-30.115712;256.648833;258.409712;5882.000000;500.000000
141;6061.339027;553.415668;6081.800000;300.000000;-20.460973;253.415668;254.240343;5924.000000;466.000000
142;6071.368627;553.736082;6097.400000;300.000000;-26.031373;253.736082;255.067896;5937.000000;473.000000
143;6031.374178;553.166622;6113.000000;300.000000;-81.625822;253.166622;266.000213;5884.000000;454.000000
144;6035.224934;549.345138;6128.600000;300.000000;-93.375066;249.345138;266.255330;5900.000000;395.000000
145;6026.214424;547.841246;6144.200000;300.000000;-117.985576;247.841246;274.492039;5893.000000;363.000000
146;6021.021996;544.402299;6159.700000;300.000000;-138.678004;244.402299;281.005467;5900.000000;279.000000
147;6249.639200;591.690038;6175.300000;300.000000;74.339200;291.690038;301.013945;6141.000000;765.000000
148;6255.535395;582.231640;6190.900000;300.000000;64.635395;282.231640;289.538309;6162.000000;722.000000
149;6277.546681;584.695848;6206.500000;300.000000;71.046681;284.695848;293.426919;6194.000000;736.000000
150;6281.489752;584.200714;6222.100000;300.000000;59.389752;284.200714;290.339781;6201.000000;734.000000
151;6268.524243;572.021295;6237.700000;300.000000;30.824243;272.021295;273.762158;6197.000000;667.000000
152;6283.574606;574.249400;6253.200000;300.000000;30.374606;274.249400;275.926349;6218.000000;682.000000
153;6298.499982;568.001610;6268.800000;300.000000;29.699982;268.001610;269.642267;6252.000000;645.000000
154;6289.151850;572.282914;6284.400000;300.000000;4.751850;272.282914;272.324375;6230.000000;671.000000
155;6927.560585;1668.285372;6300.000000;300.000000;627.560585;1368.285372;1505.336224;7195.000000;1794.000000
156;6303.702782;574.915003;6300.000000;300.000000;3.702782;274.915003;274.939938;6250.000000;688.000000
157;6012.983899;540.809339;6312.100000;300.100000;-299.116101;240.709339;383.941959;5911.000000;142.000000
158;6043.171236;540.328996;6324.200000;300.200000;-281.028764;240.128996;369.647265;5952.000000;150.000000
159;6090.243297;539.673747;6336.400000;300.600000;-246.156703;239.073747;343.146294;6017.000000;166.000000
160;6046.335858;540.325853;6348.500000;301.000000;-302.164142;239.325853;385.460806;5956.000000;153.000000
161;6242.480164;547.623446;6360.600000;301.500000;-118.119836;246.123446;273.000085;6204.000000;437.000000
162;6336.224948;565.087935;6372.700000;302.200000;-36.475052;262.887935;265.406284;6320.000000;630.000000
163;6377.013923;579.769649;6384.800000;303.000000;-7.786077;276.769649;276.879147;6368.000000;721.000000
164;6374.828457;569.845699;6396.900000;303.900000;-22.071543;265.945699;266.860016;6379.000000;666.000000
165;6382.375940;575.253905;6408.900000;305.000000;-26.524060;270.253905;271.552388;6384.000000;698.000000
166;6371.618197;570.068861;6421.000000;306.100000;-49.381803;263.968861;268.548174;6373.000000;667.000000
167;6344.906654;560.514320;6433.100000;307.400000;-88.193346;253.114320;268.039037;6343.000000;597.000000
168;6339.803429;558.550053;6445.100000;308.800000;-105.296571;249.750053;271.039585;6338.000000;580.000000
169;6352.148150;554.257286;6457.100000;310.300000;-104.951850;243.957286;265.574939;6368.000000;543.000000
170;6366.670558;563.112944;6469.100000;312.000000;-102.429442;251.112944;271.200112;6376.000000;620.000000
171;6358.099838;555.823855;6481.100000;313.700000;-123.000162;242.123855;271.575038;6375.000000;559.000000
172;6339.100698;553.612206;6493.100000;315.600000;-153.999302;238.012206;283.488262;6347.000000;534.000000
173;6322.920779;548.053869;6505.100000;317.700000;-182.179221;230.353869;293.687203;6333.000000;466.000000
174;6344.561252;545.408838;6517.000000;319.800000;-172.438748;225.608838;283.962092;6377.000000;435.000000
175;6288.602112;544.419124;6528.900000;322.000000;-240.297888;222.419124;327.434484;6287.000000;401.000000
176;6318.365218;545.348194;6540.800000;324.400000;-222.434782;220.948194;313.520872;6333.000000;426.000000
177;6349.105404;548.616303;6552.700000;326.900000;-203.594596;221.716303;301.013087;6376.000000;480.000000
178;6345.224568;547.230556;6564.500000;329.500000;-219.275432;217.730556;309.011828;6373.000000;461.000000
179;6321.066712;539.060653;6576.300000;332.200000;-255.233288;206.860653;328.535175;6360.000000;305.000000
180;6275.236746;536.701831;6588.100000;335.100000;-312.863254;201.601831;372.191770;6299.000000;205.000000
181;6358.251794;541.224786;6599.800000;338.100000;-241.548206;203.124786;315.602939;6414.000000;369.000000
182;6345.978642;539.917432;6611.600000;341.200000;-265.621358;198.717432;331.727785;6398.000000;337.000000
183;6388.172041;543.739655;6623.200000;344.400000;-235.027959;199.339655;308.179233;6458.000000;423.000000
184;6428.831361;549.233280;6634.900000;347.700000;-206.068639;201.533280;288.235922;6517.000000;506.000000
185;6422.716308;544.950127;6646.500000;351.100000;-223.783692;193.850127;296.069270;6517.000000;451.000000
186;6405.018906;538.382663;6658.100000;354.700000;-253.081094;183.682663;312.712905;6507.000000;330.000000
187;6434.888329;546.995561;6669.700000;358.400000;-234.811671;188.595561;301.172387;6534.000000;481.000000
188;6407.254160;542.236687;6681.200000;362.200000;-273.945840;180.036687;327.810207;6497.000000;405.000000
189;6428.376012;544.765792;6692.700000;366.100000;-264.323988;178.665792;319.043313;6528.000000;450.000000
190;6431.694664;544.136058;6704.100000;370.100000;-272.405336;174.036058;323.254105;6536.000000;442.000000
191;6439.006174;546.514663;6715.500000;374.200000;-276.493826;172.314663;325.793153;6543.000000;476.000000
192;6437.612123;545.917839;6726.800000;378.500000;-289.187877;167.417839;334.153200;6542.000000;468.000000
193;6421.001230;542.571522;6738.100000;382.800000;-317.098770;159.771522;355.075441;6521.000000;415.000000
194;6436.861161;542.066404;6749.400000;387.300000;-312.538839;154.766404;348.759467;6552.000000;412.000000
195;6467.027753;551.127844;6760.600000;391.900000;-293.572247;159.227844;333.973308;6585.000000;534.000000
196;6426.756879;537.282385;6771.800000;396.600000;-345.043121;140.682385;372.620837;6551.000000;315.000000
197;6424.542370;537.981083;6782.900000;401.500000;-358.357630;136.481083;383.467439;6544.000000;330.000000
198;6427.658760;537.434179;6794.000000;406.400000;-366.341240;131.034179;389.070508;6552.000000;319.000000
199;6409.196912;536.449827;6805.000000;411.400000;-395.803088;125.049827;415.087393;6523.000000;285.000000
200;6408.186121;533.894837;6816.000000;416.600000;-407.813879;117.294837;424.346838;6535.000000;205.000000
201;6421.352336;536.425791;6826.900000;421.900000;-405.547664;114.525791;421.408429;6545.000000;291.000000
202;6384.404783;529.513878;6837.800000;427.200000;-453.395217;102.313878;464.796034;6540.000000;-104.000000
203;6429.035179;534.808747;6848.600000;432.700000;-419.564821;102.108747;431.811111;6567.000000;250.000000
204;6450.059531;536.185435;6859.300000;438.300000;-409.240469;97.885435;420.784173;6599.000000;300.000000
205;6449.180469;536.044919;6870.000000;444.000000;-420.819531;92.044919;430.768319;6598.000000;296.000000
206;6471.985245;536.786326;6880.700000;449.800000;-408.714755;86.986326;417.868845;6638.000000;325.000000
207;6477.561970;536.496974;6891.200000;455.800000;-413.638030;80.696974;421.436141;6650.000000;321.000000
208;6471.085957;535.282988;6901.700000;461.800000;-430.614043;73.482988;436.838876;6643.000000;288.000000
209;6474.695037;535.056868;6912.200000;467.900000;-437.504963;67.156868;442.629233;6651.000000;284.000000
210;6471.446917;535.429791;6922.600000;474.100000;-451.153083;61.329791;455.302589;6643.000000;292.000000
211;6478.369981;533.881895;6932.900000;480.500000;-454.530019;53.381895;457.653980;6664.000000;253.000000
212;6504.760498;536.386779;6943.200000;486.900000;-438.439502;49.486779;441.223456;6704.000000;331.000000
213;6534.308376;543.195155;6953.400000;493.500000;-419.091624;49.695155;422.027721;6741.000000;457.000000
214;6527.452214;540.832635;6963.500000;500.100000;-436.047786;40.732635;437.946137;6734.000000;421.000000
215;6519.297427;536.229069;6973.600000;506.900000;-454.302573;29.329069;455.248308;6734.000000;334.000000
216;6536.403084;537.558795;6983.600000;513.700000;-447.196916;23.858795;447.832920;6764.000000;368.000000
217;6541.069630;539.744745;6993.500000;520.700000;-452.430370;19.044745;452.831030;6766.000000;408.000000
218;6533.723891;539.052148;7003.400000;527.800000;-469.676109;11.252148;469.810875;6753.000000;394.000000
219;6542.757739;540.211406;7013.200000;534.900000;-470.442261;5.311406;470.472243;6768.000000;416.000000
220;6534.117524;535.388560;7022.900000;542.200000;-488.782476;-6.811440;488.829934;6768.000000;322.000000
221;6545.886058;534.384425;7032.500000;549.500000;-486.613942;-15.115575;486.848652;6797.000000;304.000000
222;6592.883437;542.523081;7042.100000;557.000000;-449.216563;-14.476919;449.449776;6870.000000;463.000000
223;6596.520522;541.924963;7051.600000;564.500000;-455.079478;-22.575037;455.639071;6880.000000;456.000000
224;6623.526642;542.331905;7061.000000;572.100000;-437.473358;-29.768095;438.484981;6941.000000;468.000000
225;6579.158149;537.468199;7070.300000;579.900000;-491.141851;-42.431801;492.971374;6856.000000;382.000000
226;6633.722719;547.042523;7079.600000;587.700000;-445.877281;-40.657477;447.727127;6952.000000;524.000000
227;6681.008451;553.663790;7088.700000;595.600000;-407.691549;-41.936210;409.842707;7052.000000;591.000000
228;6585.807899;537.392949;7097.800000;603.600000;-511.992101;-66.207051;516.255058;6871.000000;383.000000
229;6699.290857;565.153016;7106.900000;611.700000;-407.609143;-46.546984;410.258254;7074.000000;671.000000
230;6689.667337;561.858283;7115.800000;619.900000;-426.132663;-58.041717;430.067305;7056.000000;650.000000
231;6703.278011;561.965704;7124.600000;628.200000;-421.321989;-66.234296;426.496425;7091.000000;652.000000
232;6720.013372;578.259471;7133.400000;636.600000;-413.386628;-58.340529;417.483079;7103.000000;740.000000
233;6645.865178;544.150295;7142.100000;645.100000;-496.234822;-100.949705;506.398896;6989.000000;495.000000
234;6696.062445;562.554947;7150.700000;653.600000;-454.637555;-91.045053;463.664219;7071.000000;655.000000
235;6728.963723;587.609709;7159.200000;662.300000;-430.236277;-74.690291;436.671379;7110.000000;780.000000
236;6702.232991;568.464019;7167.600000;671.000000;-465.367009;-102.535981;476.529202;7075.000000;690.000000
237;6710.406448;565.675884;7175.900000;679.800000;-465.493552;-114.124116;479.279210;7102.000000;675.000000
238;6732.662005;580.338185;7184.200000;688.700000;-451.537995;-108.361815;464.358529;7133.000000;750.000000
239;6711.308848;562.972058;7192.300000;697.600000;-480.991152;-134.627942;499.476898;7110.000000;659.000000
240;6755.883752;592.305351;7200.400000;706.700000;-444.516248;-114.394649;458.999816;7175.000000;799.000000
241;6728.156231;568.834168;7208.300000;715.800000;-480.143769;-146.965832;502.132447;7143.000000;694.000000
242;6739.647303;585.232398;7216.200000;725.000000;-476.552697;-139.767602;496.626072;7143.000000;771.000000
243;6683.669493;559.359500;7224.000000;734.300000;-540.330507;-174.940500;567.944747;7046.000000;633.000000
244;6608.898435;534.852750;7231.700000;743.700000;-622.801565;-208.847250;656.885807;6933.000000;343.000000
245;6768.674486;585.149383;7239.300000;753.200000;-470.625514;-168.050617;499.729311;7224.000000;772.000000
246;6714.689215;556.154808;7246.800000;762.700000;-532.110785;-206.545192;570.791384;7134.000000;614.000000
247;6711.245057;553.935578;7254.200000;772.300000;-542.954943;-218.364422;585.220549;7130.000000;597.000000
248;6897.288194;695.131897;7261.500000;782.000000;-364.211806;-86.868103;374.427973;7432.000000;1043.000000
249;6669.633550;539.100035;7268.700000;791.700000;-599.066450;-252.599965;650.144102;7063.000000;436.000000
250;6940.274045;743.269204;7275.800000;801.500000;-335.525955;-58.230796;340.541469;7499.000000;1114.000000
251;6788.504974;595.611362;7282.800000;811.400000;-494.295026;-215.788638;539.344332;7262.000000;812.000000
252;6763.149623;581.592291;7289.700000;821.400000;-526.550377;-239.807709;578.587104;7215.000000;757.000000
253;6795.140203;600.867959;7296.500000;831.400000;-501.359797;-230.532041;551.821228;7272.000000;830.000000
254;6802.177882;622.247115;7303.200000;841.500000;-501.022118;-219.252885;546.895776;7256.000000;893.000000
255;6790.544708;604.005535;7309.800000;851.700000;-519.255292;-247.694465;575.307401;7253.000000;840.000000
256;6784.052099;588.028669;7316.300000;861.900000;-532.247901;-273.871331;598.576089;7263.000000;784.000000
257;6801.196134;592.684004;7322.700000;872.200000;-521.503866;-279.515996;591.688663;7305.000000;802.000000
258;6809.062049;617.034892;7329.000000;882.600000;-519.937951;-265.565108;583.832424;7285.000000;879.000000
259;6835.865907;649.513527;7335.200000;893.000000;-499.334093;-243.486473;555.535957;7312.000000;958.000000
260;6851.761103;716.181395;7341.200000;903.500000;-489.438897;-187.318605;524.059819;7262.000000;1076.000000
261;6893.750166;769.595082;7347.200000;914.100000;-453.449834;-144.504918;475.918505;7316.000000;1148.000000
262;6911.376517;829.083502;7353.100000;924.700000;-441.723483;-95.616498;451.953704;7297.000000;1215.000000
263;6905.429497;797.672974;7358.800000;935.300000;-453.370503;-137.627026;473.799548;7316.000000;1181.000000
264;6885.578783;759.955861;7364.500000;946.100000;-478.921217;-186.144139;513.824068;7304.000000;1136.000000
265;6905.106396;771.240230;7370.000000;956.800000;-464.893604;-185.559770;500.558179;7348.000000;1150.000000
266;6907.814632;798.559150;7375.500000;967.700000;-467.685368;-169.140850;497.331107;7322.000000;1182.000000
267;6424.366039;526.617397;7380.800000;978.600000;-956.433961;-451.982603;1057.853579;6788.000000;-1272.000000
268;6928.193820;842.714119;7386.000000;989.500000;-457.806180;-146.785881;480.762512;7331.000000;1229.000000
269;7065.274006;1345.632834;7391.100000;1000.500000;-325.825994;345.132834;474.635914;7427.000000;1604.000000
270;6886.951052;763.935056;7396.100000;1011.500000;-509.148948;-247.564944;566.145787;7303.000000;1141.000000
271;6891.129577;776.188615;7401.000000;1022.600000;-509.870423;-246.411385;566.291814;7300.000000;1156.000000
272;6882.926558;737.168586;7405.700000;1033.800000;-522.773442;-296.631414;601.067606;7326.000000;1106.000000
273;6979.968213;961.071763;7410.400000;1045.000000;-430.431787;-83.928237;438.537880;7364.000000;1336.000000
274;6908.512695;799.448654;7414.900000;1056.200000;-506.387305;-256.751346;567.758185;7323.000000;1183.000000
